SURVEY	YEAR	SITE	BLOCK	TREATMENT	PLOT	ID	HEIGHT	AXIS1	AXIS2	CIRC	FLOWERS	BUDS	FRUITS	ANT
1	2012	SOUTH	2	TOTAL	S2TOTAL	2137	1.7	1.7	1.4	12	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3132	1.98	2.85	2.7	12	0	0	25	AB_TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3133	1.26	1.95	1.75	17	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3134	1.11	1.95	1.5	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3135	1.14	1.32	1.05	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3136	1.26	1.6	1.4	10	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3137	1.3	1.4	0.8	10	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3138	1.29	1.44	1.35	13	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3139	1.31	1.35	1.15	7	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3140	1.15	1.7	1.28	10	0	0	5	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3151	1.87	3.4	1.85	15	6	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3152	1.47	2.1	1.61	8	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3153	1.05	1.79	1.5	10	0	0	1	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3154	2.1	4.9	3.75	25	0	0	25	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3155	1.99	1.8	1.35	13	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3156	1.42	1.9	1.8	14	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3157	1.5	2.11	1.75	12	0	0	10	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3158	1.06	1.05	0.85	4	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3159	1.49	1.5	1.15	13	0	0	35	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3160	1.8	1.6	1.5	14	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3171	1.93	1.74	1.2	14	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3172	1.2	1.6	1.3	10	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3173	1.65	1.25	1.1	11	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3174	1.52	1.49	1.1	12	0	0	20	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3175	1.43	2.05	1.54	13	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3176	1.25	1.4	1.25	13	0	0	0	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	3177	1.88	2.65	2.64	20	0	0	100	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	3179	1.03	1.4	0.6	13	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3180	1.1	1.3	1.2	10	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3191	1.4	1.05	1	10	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3192	1.05	1.55	0.9	10	0	0	0	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	3193	1.18	1.2	1	7	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3194	1.4	1.3	1.85	13	0	0	30	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	3195	1.37	2.67	2.19	19	0	0	50	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	3196	1.32	2.15	1.55	11	0	0	10	CS
1	2012	SOUTH	2	MEGA	S2MEGA	182	1.55	2.2	1.2	20	0	0	0	CS
1	2012	SOUTH	2	MEGA	S2MEGA	183	1.3	1.8	0.9	8	0	0	15	CS
1	2012	SOUTH	2	MEGA	S2MEGA	184	1.24	1.2	1.2	25	0	0	10	CS
1	2012	SOUTH	2	MEGA	S2MEGA	185	1.5	2.1	1.75	16	5	0	200	CS
1	2012	SOUTH	2	MEGA	S2MEGA	186	1.65	2.5	2.2	15	0	0	80	CS
1	2012	SOUTH	2	MEGA	S2MEGA	187	2.17	2	1.2	15	0	0	150	TP
1	2012	SOUTH	2	MEGA	S2MEGA	188	1.28	1.6	1.5	10	0	0	40	TP
1	2012	SOUTH	2	MEGA	S2MEGA	189	1.07	1.5	1.5	10	0	0	60	TP
1	2012	SOUTH	2	MEGA	S2MEGA	190	0.67	1	0.8	8	0	0	0	CS
1	2012	SOUTH	2	MEGA	S2MEGA	191	0.68	0.7	0.6	4	0	0	0	TP
1	2012	SOUTH	2	MEGA	S2MEGA	192	1.87	1.6	1.4	9	0	0	40	CS
1	2012	SOUTH	2	MEGA	S2MEGA	193	1.35	1.9	1.5	14	0	0	20	CS
1	2012	SOUTH	2	MEGA	S2MEGA	194	1.75	2.1	2.1	15	0	0	75	TP
1	2012	SOUTH	2	MESO	S2MESO	462	1.75	3.3	2.5	23	0	0	20	CM
1	2012	SOUTH	2	MESO	S2MESO	463	1.64	2.3	2	14	0	0	0	TP
1	2012	SOUTH	2	MESO	S2MESO	2138	1.42	0.9	0.8	10	0	0	0	E
1	2012	SOUTH	3	OPEN	S3OPEN	1301	dead							
1	2012	SOUTH	3	OPEN	S3OPEN	1302	0.9	1.3	1.1	11	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1061	dead							
1	2012	SOUTH	3	TOTAL	S3TOTAL	1062	1.8	2.6	2.6	15	0	0	50	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1063	2.47	3.1	2.2	18	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1064	2.15	1.6	1.1	17	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1066	1.7	2.5	2.15	15	0	0	2	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1066	1.9	1.8	1.5	20	0	0	25	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1067	1.95	2.1	1.9	13	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1068	1.8	1.7	1.4	13	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1069	1.4	2	1.6	14	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	1070	1	1.3	1.2	7	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2139	1.75	1.2	1.1	13	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2140	1.28	1.5	0.95	4	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2151	1	1.4	1.2	4	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2152	1.45	1.5	1.3	10	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2153	1	1	0.75	8	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2154	1.03	1	0.9	6	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2155	1.51	2	1.8	12	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2156	1.17	1.1	0.9	10	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2157	1.33	1.9	1.85	14	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2158	1.3	1.1	0.85	8	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2159	1.13	1.1	0.9	10	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2160	1.58	1.4	1.4	13	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2171	1.06	1.4	1	5	0	0	8	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2172	1.05	1.4	0.95	7	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2173	1.45	1.6	1.1	6	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2174	1.15	1.1	0.9	5	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2175	1.42	1.45	1.3	13	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2176	1.02	1.2	1	8	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2177	1.4	1.2	1	9	0	0	0	TP
1	2012	SOUTH	3	TOTAL	S3TOTAL	2178	1.45	2.1	2.05	15	0	0	20	TP
1	2012	SOUTH	3	MESO	S3MESO	1421	1.95	2.2	1.6	13	0	0	2	CS
1	2012	SOUTH	3	MESO	S3MESO	1422	dead							
